GenerationSize,MaxIter,RestartAfter,SelectStrategy,Duration(us),Iterations,bestScore,isSolved
6000,500,100,2,58737649,500,2,0
6000,500,100,1,15747913,133,0,1
6000,500,100,0,6497331,49,0,1
7000,500,100,2,72611861,500,7,0
7000,500,100,1,3546237,19,0,1
7000,500,100,0,6834093,38,0,1
8000,500,100,2,79442465,500,3,0
8000,500,100,1,6837170,20,0,1
8000,500,100,0,12358652,35,0,1
9000,500,100,2,169218635,500,2,0
9000,500,100,1,8009952,22,0,1
9000,500,100,0,52647800,156,0,1
10000,500,100,2,203509515,500,8,0
10000,500,100,1,7725663,15,0,1
10000,500,100,0,20216093,40,0,1
